Samples,Endomicrobium proavitum,Bacteroides pyogenes,Proteiniphilum acetatigenes,Proteiniphilum saccharofermentans,Petrimonas mucosa,Porphyromonas catoniae,Porphyromonas gingivalis,Porphyromonas sp. KLE 1280,Porphyromonas sp. oral taxon 278,Prevotella buccae,Prevotella intermedia,Prevotella loescheii,Prevotella micans,Prevotella saccharolytica,Prevotella sp. oral taxon 317,Prevotella sp. oral taxon 472,Tannerella forsythia,Phocaeicola abscessus,Capnocytophaga granulosa,Capnocytophaga ochracea,Capnocytophaga sp. ChDC OS43,Capnocytophaga sp. oral taxon 326,Capnocytophaga sp. oral taxon 329,Capnocytophaga sp. oral taxon 332,Capnocytophaga sp. oral taxon 338,Capnocytophaga sp. oral taxon 863,Chryseobacterium bovis,Pedobacter cryoconitis,Bacteroidetes oral taxon 274,Fusobacterium hwasookii,Fusobacterium nucleatum,Fusobacterium periodonticum,Leptotrichia buccalis,Leptotrichia goodfellowii,Leptotrichia hofstadii,Leptotrichia sp. oral taxon 212,Leptotrichia sp. oral taxon 215,Leptotrichia sp. oral taxon 225,Leptotrichia sp. oral taxon 879,Rhodobacter sphaeroides,Altererythrobacter dongtanensis,Altererythrobacter marensis,Porphyrobacter cryptus,Porphyrobacter sp. AAP82,Sphingomonas sp. IBVSS2,Sphingomonas sp. SKA58,Sphingomonas sp. Y57,Sphingopyxis macrogoltabida,Burkholderia multivorans,Burkholderia sp. K24,Cupriavidus gilardii,Cupriavidus necator,Lautropia mirabilis,Ralstonia sp. MD27,Alicycliphilus denitrificans,Comamonas serinivorans,Comamonas testosteroni,Hydrogenophaga sp. RAC07,Ottowia sp. oral taxon 894,Polaromonas sp. JS666,Serpentinomonas mccroryi,Serpentinomonas raichei,Janthinobacterium sp. 1_2014MBL_MicDiv,Rubrivivax gelatinosus,Chromobacterium violaceum,Eikenella corrodens,Kingella denitrificans,Morococcus cerebrosus,Neisseria bacilliformis,Neisseria elongata,Neisseria gonorrhoeae,Neisseria meningitidis,Neisseria sicca,Neisseria sp. HMSC064E01,Neisseria sp. HMSC072F04,Neisseria sp. HMSC077D05,Neisseria sp. oral taxon 014,Neisseria sp. oral taxon 020,Dechloromonas agitata,Candidatus Profftella armatura,Betaproteobacteria bacterium GR16-43,Desulfobulbus elongatus,Desulfobulbus propionicus,Desulfomicrobium orale,Campylobacter concisus,Campylobacter curvus,Campylobacter gracilis,Cardiobacterium hominis,Cardiobacterium valvarum,Thioalkalivibrio sp. ALJ24,Citrobacter freundii,Citrobacter sp. MGH109,Escherichia coli,Raoultella ornithinolytica,Aggregatibacter aphrophilus,Aggregatibacter segnis,Haemophilus parainfluenzae,Acinetobacter venetianus,Acinetobacter sp. CIP 102129,Acinetobacter sp. TTH0-4,Pseudomonas aeruginosa,Pseudomonas mendocina,Pseudomonas azotifigens,Pseudomonas bauzanensis,Pseudomonas azotoformans,Pseudomonas fluorescens,Pseudomonas veronii,Pseudomonas stutzeri,Pseudomonas sp. HMSC08G10,Pseudomonas sp. MRSN12121,Dyella jiangningensis,Rhodanobacter sp. Soil772,Silanimonas lenta,Stenotrophomonas maltophilia,Chlamydia psittaci,Treponema denticola,Treponema lecithinolyticum,Treponema maltophilum,Treponema putidum,Treponema socranskii,Aminomonas paucivorans,Cloacibacillus evryensis,Cloacibacillus porcorum,Fretibacterium fastidiosum,Jonquetella anthropi,Thermanaerovibrio acidaminovorans,Actinobaculum sp. oral taxon 183,Actinomyces dentalis,Actinomyces gerencseriae,Actinomyces glycerinitolerans,Actinomyces israelii,Actinomyces massiliensis,Actinomyces naeslundii,Actinomyces oris,Actinomyces provencensis,Actinomyces radicidentis,Actinomyces sp. HPA0247,Actinomyces sp. oral taxon 170,Actinomyces sp. oral taxon 180,Actinomyces sp. oral taxon 414,Actinomyces sp. oral taxon 848,Actinomyces sp. oral taxon 849,Mobiluncus curtisii,Schaalia cardiffensis,Schaalia georgiae,Schaalia meyeri,Schaalia odontolytica,Schaalia turicensis,Corynebacterium durum,Corynebacterium matruchotii,Cryocola sp. 340MFSha3.1,Leifsonia aquatica,Microbacterium sp. PAMC 28756,Rothia aeria,Nocardioides sp. J54,Acidipropionibacterium acidipropionici,Cutibacterium acnes,Propionibacterium freudenreichii,Propionibacterium sp. oral taxon 192,Streptomyces vitaminophilus,Atopobium parvulum,Olsenella uli,Olsenella sp. kh2p3,Olsenella sp. oral taxon 807,Coriobacteriaceae bacterium 68-1-3,Eggerthella lenta,Gordonibacter massiliensis,Gordonibacter pamelaeae,Slackia exigua,Anaerolineaceae bacterium oral taxon 439,Limnoraphis robusta,Bacillus thermoamylovorans,Gemella morbillorum,Abiotrophia defectiva,Abiotrophia sp. HMSC24B09,Granulicatella adiacens,Streptococcus anginosus,Streptococcus cristatus,Streptococcus gordonii,Streptococcus mitis,Streptococcus oralis,Streptococcus pneumoniae,Streptococcus sanguinis,Streptococcus sp. DD04,Clostridium botulinum,Clostridium homopropionicum,[Eubacterium] brachy,[Eubacterium] infirmum,[Eubacterium] saphenum,[Eubacterium] sulci,Anaerovorax odorimutans,Eubacterium sp. 3_1_31,Pseudoramibacter alactolyticus,Catonella morbi,Johnsonella ignava,Lachnoanaerobaculum saburreum,Lachnoanaerobaculum sp. OBRC5-5,Oribacterium sp. oral taxon 078,Lachnospiraceae bacterium oral taxon 500,Clostridioides difficile,Filifactor alocis,Peptoanaerobacter stomatis,Peptostreptococcus anaerobius,Peptostreptococcaceae bacterium oral taxon 113,Ruminococcus flavefaciens,Eggerthia catenaformis,Solobacterium moorei,Centipeda periodontii,Selenomonas noxia,Selenomonas ruminantium,Selenomonas sputigena,Selenomonas sp. oral taxon 126,Selenomonas sp. oral taxon 892,Selenomonas sp. oral taxon 920,Anaeroglobus geminatus,Dialister invisus,Veillonella parvula,Murdochiella vaginalis,Parvimonas micra,Parvimonas sp. KA00067,Peptoniphilus sp. oral taxon 386,Candidatus Saccharibacteria oral taxon TM7x,bacterium,Candidatus Methanomethylophilus alvus,Thermoplasmatales archaeon BRNA1,Methanobrevibacter millerae,Methanobrevibacter olleyae,Methanobrevibacter oralis,Methanobrevibacter ruminantium,Methanobrevibacter smithii,Methanobrevibacter wolinii,Methanobrevibacter sp. YE315
8809_AndrewDecon_Group5_EDTA_EtOH_wash_Crushing,0,0,0,0,0,1577,0,1570,504,0,0,0,0,0,0,0,3135,1179,4653,800,7109,881,5911,654,1451,1326,0,0,8531,5925,1001,0,771,0,0,7951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20903,0,0,0,0,0,45290,0,0,0,0,0,0,4375,2449,698,498,14565,509,4863,12026,745,1830,714,4357,0,0,0,0,0,0,4337,497,519,2698,1134,3844,0,0,0,0,0,923,764,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027,0,903,0,2281,0,0,0,7771,0,0,0,3984,0,0,0,0,0,2043,0,511,0,0,0,13111,0,0,0,905,0,0,659,0,735,4058,0,0,0,2757,0,0,0,0,0,0,0,0,0,16703,0,0,0,0,0,3656,0,0,634,1645,3078,1575,0,0,672,860,4349,0,31833,2914,0,0,0,0,1489,0,0,0,0,0,784,0,0,0,1052,0,553,0,0,2970,0,0,0,0,0,0,631,0,834,0,0,0,0,0,534,0,0,1617,0,0,0,0,0,0,0,0,0,0
8810_AndrewDecon_Group5_EDTA_EtOH_wash_Crushing,0,0,0,0,0,0,246,0,0,0,0,0,0,0,317,248,2216,0,372,0,368,0,0,0,0,0,0,0,3367,0,0,0,506,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6236,0,0,0,0,0,4838,0,0,0,0,0,0,233,0,0,0,302,0,0,0,0,0,0,785,0,0,0,0,384,570,6650,0,0,896,668,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1806,0,751,0,1656,332,0,513,8504,223,0,0,6530,587,0,0,1458,1014,463,0,0,0,0,0,18676,325,0,0,1271,466,0,0,0,0,4381,0,0,0,0,0,0,0,0,0,0,0,0,0,29269,0,0,0,0,0,16141,0,0,0,0,0,0,0,0,0,0,0,0,956,350,0,0,502,408,1401,284,335,272,0,767,1069,0,0,0,356,0,468,0,0,1900,0,442,0,0,366,0,365,0,496,0,0,0,0,0,222,0,395,1919,0,379,409,603,0,1488,0,429,0,1527
8811_AndrewDecon_Group5_EDTA_EtOH_wash_Crushing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,164,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,198,0,532,194,0,151,3985,0,0,191,7981,515,228,137,0,0,499,0,0,0,0,0,21447,0,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,155,226,0,0,0,0,15838,0,0,0,0,0,18059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,400,1863,251,363,0,194,249,0,0,0,0,0,0,366,0,0,1557,0,927,0,0,0,0,0,0,0,0,0,0,0,0,192,0,414,261,0,0,0,1177,339,2673,0,825,0,2986
8813_AndrewDecon_Group1_EtOH_wash_Crushing,0,0,0,0,0,891,0,0,427,0,0,0,0,442,838,1059,1586,0,10292,459,6185,675,1444,1945,528,1836,0,0,3542,711,0,0,1284,351,480,2729,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,29249,0,370,330,0,0,82639,0,0,0,0,0,0,2186,1138,0,552,6897,0,781,0,0,0,0,0,326,0,0,0,0,0,3357,331,0,452,6270,2154,0,0,0,0,0,358,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,482,0,647,0,0,0,3672,0,0,0,1556,0,0,1265,459,682,2880,0,0,0,0,0,5027,0,0,0,688,0,0,0,0,0,10216,0,0,0,620,0,0,0,0,0,0,0,0,0,4471,0,0,0,0,0,5268,0,0,0,0,477,0,0,515,1342,0,362,0,22246,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,0,0,0,0,764,0,0,0,0,0,0,0,0,444,0,0,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0
8816_AndrewDecon_Group1_EtOH_wash_Crushing,0,0,0,0,0,0,2150,0,0,0,0,0,0,0,0,0,13194,1138,0,0,0,0,0,0,0,0,0,0,8390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,0,0,1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,1444,36588,0,0,1912,0,0,0,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6346,0,3719,0,9342,0,0,0,30564,0,0,39398,60614,75588,1376,1218,987,2736,2710,0,0,0,0,0,149210,0,0,0,4351,1982,4012,0,0,0,16384,0,0,0,0,0,0,0,0,1667,0,0,0,0,88757,0,0,0,0,1128,62595,0,0,0,0,0,0,0,0,0,0,0,0,0,3183,0,0,0,0,2561,0,0,0,0,0,1039,0,0,0,0,0,2154,0,0,10327,0,0,0,0,0,0,1908,0,0,0,0,0,0,0,990,0,0,4387,0,0,0,0,0,1552,0,0,0,1573
8818_AndrewDecon_Group5_EDTA_EtOH_wash_Crushing,277,0,0,0,0,0,767,0,0,0,294,0,0,0,0,291,3439,348,287,584,0,0,0,0,0,0,0,0,5945,0,2224,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,3962,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,307,21651,0,0,1968,538,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2753,636,1752,0,3530,578,0,0,17669,316,0,745,11834,2267,0,0,1062,0,5062,0,0,0,0,0,30549,1374,0,0,875,717,508,0,0,0,6692,0,0,0,0,0,0,0,0,0,0,0,0,0,35465,0,0,0,0,290,8237,0,0,0,0,0,0,0,0,0,0,0,0,804,665,0,0,525,365,3090,0,0,0,331,665,1409,0,0,0,0,0,1209,0,0,1516,0,0,0,0,738,0,599,0,0,0,0,0,0,0,626,0,0,3018,0,0,0,0,0,0,0,0,0,0
